Temperature,Pressure,Replicate,Distance_TE,Distance_T0,TE,T0
4,0.1,1,22,2,192,96
4,0.1,2,17,2,192,96
4,0.1,3,19,2.5,192,96
4,10,1,9,1,318,48
4,10,2,11,1.5,318,48
4,10,3,10,1,318,48
4,25,1,4.5,0.5,318,96
4,25,2,2,1,318,96
4,25,3,1.5,0,318,96
4,50,1,0,0,318,96
4,50,2,0,0,318,96
4,50,3,0,0,318,96
30,0.1,1,24,0,48,12
30,0.1,2,24,1,48,12
30,0.1,3,24,0.5,48,12
30,10,1,24,5,48,18
30,10,2,24,4,48,18
30,10,3,24,5,48,18
30,25,1,10,3,72,18
30,25,2,10,3,72,18
30,25,3,11,1.5,72,18
30,50,1,0,0,96,18
30,50,2,0,0,96,18
30,50,3,0,0,96,18
