Time,Value,Period,Replicate
-30,86,Before,R1
-30,73,Before,R1
-30,62,Before,R1
-30,67,Before,R1
-30,73,Before,R1
-30,75,Before,R1
-30,83,Before,R1
-30,76,Before,R1
-30,71,Before,R1
-30,64,Before,R1
-30,60,Before,R2
-30,86,Before,R2
-30,88,Before,R2
-30,80,Before,R2
-30,88,Before,R2
-30,80,Before,R2
-30,80,Before,R2
-30,88,Before,R2
-30,89,Before,R2
-30,80,Before,R2
-30,75,Before,R3
-30,67,Before,R3
-30,80,Before,R3
-30,67,Before,R3
-30,67,Before,R3
-30,75,Before,R3
-30,33,Before,R3
-30,67,Before,R3
-30,80,Before,R3
-30,78,Before,R3
-10,0,During,R1
-10,8,During,R1
-10,8,During,R1
-10,7,During,R1
-10,7,During,R1
-10,0,During,R1
-10,8,During,R1
-10,8,During,R1
-10,0,During,R1
-10,0,During,R1
-10,13,During,R2
-10,14,During,R2
-10,17,During,R2
-10,13,During,R2
-10,0,During,R2
-10,0,During,R2
-10,27,During,R2
-10,27,During,R2
-10,25,During,R2
-10,15,During,R2
-10,0,During,R3
-10,8,During,R3
-10,0,During,R3
-10,0,During,R3
-10,7,During,R3
-10,0,During,R3
-10,9,During,R3
-10,0,During,R3
-10,0,During,R3
-10,8,During,R3
0,25,After,R1
0,22,After,R2
0,44,After,R3
5,64,After,R1
5,71,After,R2
5,75,After,R3
10,56,After,R1
10,56,After,R2
10,67,After,R3
20,50,After,R1
20,65,After,R2
20,67,After,R3
30,38,After,R1
30,44,After,R2
30,67,After,R3
40,50,After,R1
40,54,After,R2
40,67,After,R3
90,18,After,R1
90,50,After,R2
