Time,Value,Period,Replicate
-30,41.94488812,Before,R1
-30,19.74461045,Before,R1
-30,32.58691226,Before,R1
-30,20.98127663,Before,R1
-30,23.7534179,Before,R1
-30,32.96443985,Before,R1
-30,31.01197468,Before,R1
-30,19.7210893,Before,R1
-30,30.64582142,Before,R1
-30,27.69486611,Before,R1
-30,17.875,Before,R2
-30,34.12,Before,R2
-30,24.066,Before,R2
-30,19.765,Before,R2
-30,38.263,Before,R2
-30,35.97,Before,R2
-30,27.081,Before,R2
-30,21.072,Before,R2
-30,37.837,Before,R2
-30,20.09,Before,R2
-30,23.75172472,Before,R3
-30,31.09501732,Before,R3
-30,33.09418176,Before,R3
-30,22.9129382,Before,R3
-30,17.54192083,Before,R3
-30,20.66064764,Before,R3
-30,22.76399217,Before,R3
-30,35.47700529,Before,R3
-30,88.11154628,Before,R3
-30,29.01262044,Before,R3
-10,7.235,During,R1
-10,7.186,During,R1
-10,5.7,During,R1
-10,14.805,During,R1
-10,12.499,During,R1
-10,9.577,During,R1
-10,6.323,During,R1
-10,8.755,During,R1
-10,13.829,During,R1
-10,11.109,During,R1
-10,11.7936316,During,R2
-10,11.85263347,During,R2
-10,6.966408231,During,R2
-10,19.18511556,During,R2
-10,11.10172333,During,R2
-10,9.488800416,During,R2
-10,6.173924614,During,R2
-10,11.76713054,During,R2
-10,6.887215623,During,R2
-10,19.9698214,During,R2
-10,10.21,During,R3
-10,6.272,During,R3
-10,8.975,During,R3
-10,9.553,During,R3
-10,7.308,During,R3
-10,7.356,During,R3
-10,8.265,During,R3
-10,11.1,During,R3
-10,9.036,During,R3
-10,0.309,During,R3
0,13.772,After,R1
0,13.24,After,R1
0,7.305,After,R2
0,11.68,After,R2
0,20.521,After,R2
0,26.18,After,R3
0,28.651,After,R3
0,23.413,After,R3
5,28.131,After,R1
5,15.205,After,R1
5,20.721,After,R1
5,29.072,After,R1
5,17.08,After,R1
5,20.749,After,R2
5,20.006,After,R2
5,19.121,After,R2
5,27.618,After,R3
5,24.492,After,R3
5,20.622,After,R3
5,24.604,After,R3
5,23.274,After,R3
10,26.698,After,R1
10,24.095,After,R1
10,15.515,After,R1
10,9.302,After,R1
10,18.649,After,R1
10,32.268,After,R2
10,18.247,After,R2
10,9.502,After,R2
10,20.47563998,After,R3
10,13.72115963,After,R3
10,14.80056817,After,R3
10,23.51948271,After,R3
10,19.30791693,After,R3
20,9.398,After,R1
20,10.01,After,R1
20,7.159,After,R1
20,11.207,After,R1
20,9.47,After,R1
20,22.505,After,R2
20,12.445,After,R2
20,21.009,After,R2
20,21.067,After,R2
20,28.93,After,R2
20,26.83536319,After,R3
20,28.41022005,After,R3
20,32.3876248,After,R3
20,24.96392542,After,R3
20,23.13232662,After,R3
30,24.871,After,R1
30,8.784,After,R1
30,12.327,After,R1
30,12.549,After,R2
30,18.741,After,R2
30,17.971,After,R2
30,20.613,After,R2
30,23.69577412,After,R3
30,32.75852561,After,R3
30,25.90551362,After,R3
30,23.60545843,After,R3
30,14.84183478,After,R3
40,40.064,After,R1
40,25.759,After,R1
40,35.604,After,R1
40,23.833,After,R1
40,12.785,After,R1
40,35.57,After,R2
40,36.001,After,R2
40,12.226,After,R2
40,30.026,After,R2
40,19.262,After,R2
40,24.87335111,After,R3
40,26.94401123,After,R3
40,24.50829457,After,R3
40,17.14643479,After,R3
40,36.92640733,After,R3
90,13.37,After,R1
90,29.99,After,R1
90,12.329,After,R1
90,29.45359602,After,R2
90,30.14257969,After,R2
90,24.86451246,After,R2
90,23.46069901,After,R2
90,29.77011326,After,R2
