Time,Value,Period,Replicate
-30,45,Before,R1
-30,35,Before,R1
-30,43,Before,R1
-30,51,Before,R1
-30,50,Before,R1
-30,47,Before,R1
-30,47,Before,R1
-30,51,Before,R1
-30,41,Before,R1
-30,41,Before,R1
-30,48,Before,R2
-30,41,Before,R2
-30,48,Before,R2
-30,49,Before,R2
-30,56,Before,R2
-30,56,Before,R2
-30,50,Before,R2
-30,53,Before,R2
-30,54,Before,R2
-30,50,Before,R2
-30,37,Before,R3
-30,34,Before,R3
-30,33,Before,R3
-30,44,Before,R3
-30,25,Before,R3
-30,35,Before,R3
-30,40,Before,R3
-30,45,Before,R3
-30,40,Before,R3
-30,39,Before,R3
-10,15,During,R1
-10,15,During,R1
-10,20,During,R1
-10,20,During,R1
-10,21,During,R1
-10,15,During,R1
-10,14,During,R1
-10,14,During,R1
-10,21,During,R1
-10,13,During,R1
-10,13,During,R2
-10,13,During,R2
-10,22,During,R2
-10,22,During,R2
-10,19,During,R2
-10,12,During,R2
-10,16,During,R2
-10,22,During,R2
-10,17,During,R2
-10,14,During,R2
-10,27,During,R3
-10,26,During,R3
-10,15,During,R3
-10,13,During,R3
-10,17,During,R3
-10,15,During,R3
-10,11,During,R3
-10,16,During,R3
-10,14,During,R3
-10,15,During,R3
0,12,After,R1
0,7,After,R2
0,9,After,R3
5,19,After,R1
5,11,After,R2
5,12,After,R3
10,19,After,R1
10,13,After,R2
10,16,After,R3
20,23,After,R1
20,24,After,R2
20,39,After,R3
30,30,After,R1
30,29,After,R2
30,40,After,R3
40,39,After,R1
40,30,After,R2
40,43,After,R3
90,33,After,R1
90,25,After,R2
90,28,After,R3
