Time,Value,Period,Replicate
-30,40.648,Before,R1
-30,44.36,Before,R1
-30,34.522,Before,R1
-30,54.114,Before,R1
-30,56.396,Before,R1
-30,54.618,Before,R1
-30,41.162,Before,R1
-30,39.504,Before,R1
-30,40.727,Before,R1
-30,45.156,Before,R1
-30,41.466,Before,R2
-30,57.589,Before,R2
-30,52.95,Before,R2
-30,41.128,Before,R2
-30,25.758,Before,R2
-30,37.219,Before,R2
-30,43.779,Before,R2
-30,37.023,Before,R2
-30,54.447,Before,R2
-30,35.028,Before,R2
-30,49.72,Before,R3
-30,36.179,Before,R3
-30,29.906,Before,R3
-30,42.995,Before,R3
-30,34.415,Before,R3
-30,48.699,Before,R3
-30,56.353,Before,R3
-30,47.463,Before,R3
-30,36.387,Before,R3
-30,47.37,Before,R3
-10,11.163,During,R1
-10,10.291,During,R1
-10,10.024,During,R1
-10,8.215,During,R1
-10,10.216,During,R1
-10,8.22,During,R1
-10,10.462,During,R1
-10,12.066,During,R1
-10,9.36,During,R1
-10,7.347,During,R1
-10,8.261,During,R2
-10,10.207,During,R2
-10,8.431,During,R2
-10,8.479,During,R2
-10,10.207,During,R2
-10,7.794,During,R2
-10,7.778,During,R2
-10,10.951,During,R2
-10,9.801,During,R2
-10,6.769,During,R2
-10,10.417,During,R3
-10,11.249,During,R3
-10,11.265,During,R3
-10,13.96,During,R3
-10,11.007,During,R3
-10,12.791,During,R3
-10,7.301,During,R3
-10,8.426,During,R3
-10,10.234,During,R3
-10,10.862,During,R3
0,28.174,After,R1
0,14.159,After,R1
0,15.535,After,R1
0,14.961,After,R1
0,10.428,After,R1
0,18.44,After,R2
0,32.073,After,R2
0,9.241,After,R2
0,8.553,After,R2
0,11.089,After,R2
0,18.9,After,R3
0,9.672,After,R3
0,14.568,After,R3
0,13.668,After,R3
0,13.479,After,R3
5,6.563,After,R1
5,19.768,After,R1
5,6.736,After,R1
5,13.69,After,R1
5,7.709,After,R1
5,17.953,After,R2
5,9.652,After,R2
5,23.781,After,R2
5,14.585,After,R2
5,11.077,After,R2
5,15.127,After,R3
5,11.477,After,R3
5,28.878,After,R3
5,12.802,After,R3
5,12.759,After,R3
10,11.2,After,R1
10,7.195,After,R1
10,9.654,After,R1
10,14.056,After,R1
10,6.192,After,R1
10,15.446,After,R2
10,11.313,After,R2
10,7.982,After,R2
10,7.229,After,R2
10,6.04,After,R2
10,28.948,After,R3
10,25.237,After,R3
10,15.259,After,R3
10,18.665,After,R3
10,20.963,After,R3
20,22.413,After,R1
20,21.298,After,R1
20,11.43,After,R1
20,15.709,After,R1
20,11.419,After,R1
20,49.134,After,R2
20,13.39,After,R2
20,22.858,After,R2
20,13.631,After,R2
20,19.611,After,R2
20,14.301,After,R3
20,34.79,After,R3
20,46.493,After,R3
20,11.873,After,R3
20,34.269,After,R3
30,18.369,After,R1
30,14.038,After,R1
30,22.491,After,R1
30,23.19,After,R1
30,35.803,After,R1
30,24.364,After,R2
30,16.56,After,R2
30,41.348,After,R2
30,21.759,After,R2
30,32.114,After,R2
30,38.208,After,R3
30,16.761,After,R3
30,29.27,After,R3
30,45.228,After,R3
30,37.043,After,R3
40,23.771,After,R1
40,21.703,After,R1
40,48.268,After,R1
40,15.825,After,R1
40,14.281,After,R1
40,33.272,After,R2
40,35.479,After,R2
40,28.083,After,R2
40,18.837,After,R2
40,32.687,After,R2
40,39.477,After,R3
40,23.535,After,R3
40,34.451,After,R3
40,35.621,After,R3
40,37.14,After,R3
90,10.829,After,R1
90,34.868,After,R1
90,15.688,After,R1
90,36.051,After,R1
90,27.27,After,R1
90,37.881,After,R2
90,22.582,After,R2
90,40.866,After,R2
90,21.598,After,R2
90,20.401,After,R2
90,10.502,After,R3
90,7.18,After,R3
90,11.225,After,R3
90,7.18,After,R3
90,11.272,After,R3
