Temperature,Pressure,Replicate,Distance_TE,Distance_T0,TE,T0
4,0.1,1,15,3,312,48
4,0.1,2,14,2,312,48
4,0.1,3,16,1,312,48
4,10,1,1.5,0.5,312,48
4,10,2,1,0.5,312,48
4,10,3,2.5,1,312,48
4,25,1,0,0,336,72
4,25,2,0,0,336,72
4,25,3,0,0,336,72
4,50,1,0,0,336,72
4,50,2,0,0,336,72
4,50,3,0,0,336,72
30,0.1,1,24,5,18,9
30,0.1,2,21,4,18,9
30,0.1,3,20,3,18,9
30,10,1,22,1,24,9
30,10,2,22,4,24,9
30,10,3,21,1,24,9
30,25,1,7,1,48,9
30,25,2,11,1,48,9
30,25,3,15,1,48,9
30,50,1,3,2,96,12
30,50,2,7,1,96,12
30,50,3,5,0.5,96,12
