Pressure,Percent,StDev,ID
0.1,83,6.15,RT_F1
20,82.72,4.63,RT_F1
40,80.54,6.21,RT_F1
60,76.77,6.94,RT_F1
80,58.48,10.41,RT_F1
100,50.93,10.09,RT_F1
120,12.45,9,RT_F1
120,12.45,9,RT_F2
100,10.56,8.6,RT_F2
80,15.95,8.56,RT_F2
60,17.73,8.24,RT_F2
40,26.89,12.69,RT_F2
20,28.08,7.42,RT_F2
0.1,31.53,12.5,RT_F2
0.1,51.16,9.3,7C_F1
20,56.23,13.18,7C_F1
40,43.92,8.3,7C_F1
60,32.09,8.85,7C_F1
80,18.16,6.23,7C_F1
80,18.16,6.23,7C_F2
60,5.35,4.52,7C_F2
40,9.24,9.18,7C_F2
20,14.54,15.01,7C_F2
0.1,12.09,10.21,7C_F2
