Time,Value,Period,Replicate
-30,84,Before,R1
-30,85,Before,R1
-30,85,Before,R1
-30,84,Before,R1
-30,88,Before,R1
-30,87,Before,R1
-30,82,Before,R1
-30,80,Before,R1
-30,86,Before,R1
-30,83,Before,R1
-30,91,Before,R2
-30,87,Before,R2
-30,88,Before,R2
-30,94,Before,R2
-30,93,Before,R2
-30,94,Before,R2
-30,94,Before,R2
-30,94,Before,R2
-30,97,Before,R2
-30,96,Before,R2
-30,91,Before,R3
-30,91,Before,R3
-30,86,Before,R3
-30,84,Before,R3
-30,91,Before,R3
-30,85,Before,R3
-30,89,Before,R3
-30,85,Before,R3
-30,91,Before,R3
-30,86,Before,R3
-10,31,During,R1
-10,34,During,R1
-10,27,During,R1
-10,28,During,R1
-10,32,During,R1
-10,33,During,R1
-10,23,During,R1
-10,30,During,R1
-10,30,During,R1
-10,24,During,R1
-10,50,During,R2
-10,38,During,R2
-10,34,During,R2
-10,46,During,R2
-10,32,During,R2
-10,34,During,R2
-10,42,During,R2
-10,32,During,R2
-10,28,During,R2
-10,38,During,R2
-10,30,During,R3
-10,38,During,R3
-10,35,During,R3
-10,34,During,R3
-10,29,During,R3
-10,32,During,R3
-10,31,During,R3
-10,38,During,R3
-10,29,During,R3
-10,34,During,R3
0,19,After,R1
0,34,After,R2
0,15,After,R3
5,19,After,R1
5,32,After,R2
5,28,After,R3
10,33,After,R1
10,48,After,R2
10,34,After,R3
20,47,After,R1
20,46,After,R2
20,44,After,R3
30,43,After,R1
30,59,After,R2
30,51,After,R3
40,42,After,R1
40,63,After,R2
40,58,After,R3
90,50,After,R1
90,81,After,R2
90,65,After,R3
